model_name,test_subject,test_accuracy,test_macro_f1,class0_f1,class1_f1,class2_f1,class3_f1,class4_f1
all_channel_conv1d_small,1,0.6166666666666667,0.5365362200298569,0.0,0.5548569192935391,0.8962288881399094,0.3829503829503829,0.848644909765453
all_channel_conv1d_small,2,0.7666666666666666,0.7077819336638805,0.7437908496732026,1.0,0.708010804708918,0.09523809523809523,0.991869918699187
all_channel_conv1d_small,3,0.9,0.8986380726322808,0.9914529914529915,0.9629629629629629,0.7491854024112089,0.7977190876350541,0.991869918699187
all_channel_conv1d_small,4,0.9366666666666665,0.9330238053132023,0.8208951657227518,1.0,0.9,0.9442238608432595,1.0
all_channel_conv1d_small,5,0.73,0.6986704828374345,0.6130513322294144,0.7545751633986928,0.8957737132429182,0.9067198820838239,0.32323232323232326
all_channel_conv1d_small,6,0.8766666666666666,0.8695918502994333,0.885216665947563,0.9914529914529915,0.8481894973123043,0.6971741708583815,0.9259259259259259
all_channel_conv1d_v1,1,0.6633333333333334,0.594836332024043,0.0,0.6155008767637223,0.8925791385573429,0.6325187357445423,0.8335829090546071
all_channel_conv1d_v1,2,0.8033333333333333,0.7609639309737418,0.8142747879293561,1.0,0.7378053830227743,0.2608695652173913,0.991869918699187
all_channel_conv1d_v1,3,0.9033333333333333,0.898241112137505,0.9914529914529915,1.0,0.6934556915090843,0.806296877725449,1.0
all_channel_conv1d_v1,4,0.9499999999999998,0.948912469644177,0.8887445887445887,1.0,0.8887445887445887,0.9670731707317074,1.0
all_channel_conv1d_v1,5,0.48333333333333334,0.4197787204315133,0.1932367149758454,0.31800766283524906,0.7951951951951952,0.598514635211883,0.19393939393939394
all_channel_conv1d_v1,6,0.9,0.8961038269992758,0.9308469308469308,0.991869918699187,0.8421913446229556,0.750768049155146,0.96484289167216
channel_shared_attentionpool_v2,1,0.3833333333333333,0.30179275488012663,0.2820192879016408,0.5435827041866849,0.06060606060606061,0.028985507246376815,0.5937702144598697
channel_shared_attentionpool_v2,2,0.5366666666666666,0.4979695406473055,0.5798842233455116,0.20476190476190478,0.29262187088274044,0.46141975308641975,0.9511599511599512
channel_shared_attentionpool_v2,3,0.36000000000000004,0.29434530695387034,0.14754421206034107,0.0,0.4693590516375326,0.12131770668356034,0.7335055643879174
channel_shared_attentionpool_v2,4,0.36999999999999994,0.3217260286772995,0.3073089700996678,0.21182266009852216,0.15019762845849802,0.2686143700636454,0.6706865146661642
channel_shared_attentionpool_v2,5,0.20666666666666667,0.10329883226079879,0.0,0.2468970917069245,0.2378510378510378,0.031746031746031744,0.0
channel_shared_attentionpool_v2,6,0.42,0.36241866738022904,0.025483832191369155,0.26877470355731226,0.7576136724239539,0.08602150537634408,0.6741996233521657
channel_shared_meanpool_v2,1,0.22,0.11550829629337545,0.0,0.06289308176100629,0.48995704168117965,0.02469135802469136,0.0
channel_shared_meanpool_v2,2,0.3833333333333333,0.3349340819539557,0.041666666666666664,0.5324594785059901,0.6191706656822936,0.07060755336617404,0.4107660455486542
channel_shared_meanpool_v2,3,0.38999999999999996,0.32071883111585536,0.3754010695187166,0.0,0.44086276931847873,0.0,0.7873303167420814
channel_shared_meanpool_v2,4,0.4633333333333334,0.39758540201813847,0.2915081544212511,0.0,0.5747268604411461,0.4087816944959803,0.7129103007323149
channel_shared_meanpool_v2,5,0.22666666666666666,0.12309121830481722,0.0,0.13620071684587814,0.47925537467820783,0.0,0.0
channel_shared_meanpool_v2,6,0.22,0.12189352386981518,0.03720611051438119,0.0,0.09523809523809523,0.0,0.47702341359659955
channel_shared_posres_attention_v3,1,0.8466666666666667,0.8417938113387828,0.9056650635598005,0.8330649490069781,0.7724867724867726,0.8437217705510388,0.8540305010893247
channel_shared_posres_attention_v3,2,0.7733333333333334,0.757317968730615,0.6978691556346163,0.8496669621950942,0.7851335656213706,0.48001102839812515,0.9739091318038686
channel_shared_posres_attention_v3,3,0.88,0.8832041301714876,0.8928402086296824,0.9067969067969068,0.8351825509720247,0.7893310657596372,0.991869918699187
channel_shared_posres_attention_v3,4,0.9166666666666666,0.9155738318275611,0.8479563072586327,1.0,0.8575952075310226,0.8804477256489639,0.991869918699187
channel_shared_posres_attention_v3,5,0.7233333333333333,0.6852963039119411,0.23174603174603173,0.808486110713046,0.7809606841864906,0.7837507439399057,0.8215379489742309
channel_shared_posres_attention_v3,6,0.79,0.7817628372717716,0.7483870967741936,0.8762422685577388,0.8245614035087719,0.5333333333333332,0.9262900841848211
cnn2d_baseline_v1,1,0.27999999999999997,0.1896027929682155,0.0,0.4324964710627142,0.11736934563021519,0.25,0.14814814814814814
cnn2d_baseline_v1,2,0.6066666666666668,0.572305205269016,0.6705974266949877,0.6043912848158132,0.5274321266968326,0.16077828981054784,0.8983268983268983
cnn2d_baseline_v1,3,0.47333333333333333,0.3959372544086503,0.278978978978979,0.0,0.5223863347433141,0.5276923076923077,0.6506286506286506
cnn2d_baseline_v1,4,0.63,0.5563584220877291,0.12554112554112554,0.4093986459577857,0.7360822360822361,0.7108777686628384,0.7998923341946598
cnn2d_baseline_v1,5,0.39666666666666667,0.2578880064852341,0.0,0.5920817369093232,0.17460317460317462,0.5227551209136727,0.0
cnn2d_baseline_v1,6,0.2966666666666667,0.24091481367129255,0.10827855272299715,0.13633923778851317,0.09523809523809523,0.18990504747626188,0.6748131351305955
modality_shared_sensorattn_v3,1,0.75,0.7157988028312511,0.19999999999999998,0.938821412505623,0.684495430823374,0.8902745995423341,0.8654025712849243
modality_shared_sensorattn_v3,2,0.7399999999999999,0.7307062590259186,0.6206617647058824,0.9157894736842106,0.8126262626262627,0.3675816993464052,0.9368720947668318
modality_shared_sensorattn_v3,3,0.5533333333333333,0.5043608522078268,0.39689922480620154,0.2675026123301985,0.4444444444444445,0.49818556642803685,0.9147724130302528
modality_shared_sensorattn_v3,4,0.7966666666666667,0.7621074224366939,0.3217171717171717,0.9914529914529915,0.905358634681943,0.5920083143313634,1.0
modality_shared_sensorattn_v3,5,0.3433333333333333,0.25352315222622823,0.0,0.385451280795644,0.4963551676969162,0.0,0.3858093126385809
modality_shared_sensorattn_v3,6,0.6833333333333332,0.6475987276784863,0.583786231884058,0.6210826210826211,0.7579365079365079,0.38095238095238093,0.894235896536863
